Text,Language
"Hello, how are you?",English
"Good morning!",English
"What is your name?",English
"I love programming.",English
"Have a nice day!",English
"Bonjour, comment ça va?",French
"Bonne journée!",French
"Quel est ton nom?",French
"J'aime programmer.",French
"Passe une bonne journée!",French
"Hola, cómo estás?",Spanish
"Buenos días!",Spanish
"¿Cuál es tu nombre?",Spanish
"Me encanta programar.",Spanish
"Que tengas un buen día!",Spanish
"Hallo, wie geht's dir?",German
"Guten Morgen!",German
"Wie heißt du?",German
"Ich liebe Programmieren.",German
"Hab einen schönen Tag!",German
"नमस्ते, आप कैसे हैं?",Hindi
"सुप्रभात!",Hindi
"आपका नाम क्या है?",Hindi
"मुझे प्रोग्रामिंग पसंद है।",Hindi
"आपका दिन शुभ हो!",Hindi
"Ciao, come stai?",Italian
"Buongiorno!",Italian
"Come ti chiami?",Italian
"Amo programmare.",Italian
"Buona giornata!",Italian
"Olá, como vai você?",Portuguese
"Bom dia!",Portuguese
"Qual é o seu nome?",Portuguese
"Eu amo programar.",Portuguese
"Tenha um bom dia!",Portuguese
"Привет, как дела?",Russian
"Доброе утро!",Russian
"Как тебя зовут?",Russian
"Я люблю программировать.",Russian
"Хорошего дня!",Russian
"今日は、元気ですか？",Japanese
"おはようございます",Japanese
"お名前は何ですか？",Japanese
